date,position,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url
18-05-2024,16,Decrescendo,Lomepal,76,218586,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273f3b4ab85fc00ae35007eb7d0
18-05-2024,17,Nocif,Hamza,75,229386,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b2736d70a04b5fbec88db801822f
18-05-2024,18,Ciao,Werenoi,74,216333,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
18-05-2024,19,AMBER,Zola,68,182493,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
18-05-2024,20,Nouvelles,PLK,75,179653,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
18-05-2024,21,Tiki Taka,Vacra,66,174829,album,8,FALSE,https://i.scdn.co/image/ab67616d0000b2734d82486b5c7a283ab9ed2797
18-05-2024,22,Quoi de neuf bébé,Jok'air,61,202760,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273f4b8e2b04c2441dacfbdbc4d
18-05-2024,23,Daylight,David Kushner,96,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
18-05-2024,24,DIE,Gazo,76,240413,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
18-05-2024,25,La danse du roro,Naps,70,212053,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
18-05-2024,26,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
18-05-2024,27,Dépassé,Nuit Incolore,74,172394,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273b157e61791dc23dff9786eb4
18-05-2024,28,Secret,Louane,74,191173,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b2736ddad5ffc62722ceecacd18a
18-05-2024,29,Tattoo,Loreen,89,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
18-05-2024,30,FLEURS (feat. Tiakola),Gazo,74,210933,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
18-05-2024,31,La bandite,Jul,78,160893,album,25,TRUE,https://i.scdn.co/image/ab67616d0000b2733c505b5ddcbdf80c7dff5a1f
18-05-2024,32,COEUR DE ICE (feat. Damso),Zola,75,192213,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
18-05-2024,33,Urus,Favé,71,147788,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273583586e9318379d1add68cfe
18-05-2024,34,TOUTE LA JOURNÉE (feat. Tiakola),Zola,68,167933,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
18-05-2024,35,Miracle (with Ellie Goulding),Calvin Harris & Ellie Goulding,91,186496,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0
18-05-2024,36,Room 69,Tayc,75,189926,album,9,FALSE,https://i.scdn.co/image/ab67616d0000b2735eb0e9cec42f49289d4871f5
18-05-2024,37,NO LÈCHE,Gazo & Favé & Leto,75,194201,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a7d51f8ab02540c9304aaa17
18-05-2024,38,Tek Tek (feat. MHD),DYSTINCT & MHD,71,161506,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2735d9b237aad9eab1c17a80ee7
18-05-2024,39,La vie qu'on mène,Ninho,74,193443,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b2733f12b172c90b9fe9232f38d0
18-05-2024,40,Escorte,Werenoi,71,194626,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
18-05-2024,41,Superstar,Stefy De Cicco & Shibui & Andrea Zelletta,74,172142,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2736b94f3d0cbff0d4d16844bb5
18-05-2024,42,People,Libianca,92,184791,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
18-05-2024,43,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,90,140017,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
18-05-2024,44,Pas là,Djadja & Dinaz,72,147000,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273a108e2731d6ce9a6a7e06261
18-05-2024,45,As It Was,Harry Styles,92,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
18-05-2024,46,La League,Werenoi,71,179572,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273530417284071d70ff30d43d9
18-05-2024,47,Intro,Josman,72,147720,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b273110978fabea619d30156216b
18-05-2024,48,Δ. Dieu ne ment jamais,Damso,74,199346,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b273d8ab9910c70f649f1498ff61
18-05-2024,49,Bailar contigo,Black Eyed Peas,72,223352,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2734b04c0f4a47a0ff7958332a6
18-05-2024,50,Acolyte (feat. Dadju & Ninho),Gianni,70,169986,album,13,TRUE,https://i.scdn.co/image/ab67616d0000b273a61b624dfdddea97c380667b
19-05-2024,1,LA RUE,No Limit & Gazo & Damso,74,225137,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27384f2454da0973c07a508b57e
19-05-2024,2,C'est carré le S,Naps,75,201533,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
19-05-2024,3,Bolide allemand,SDM,79,176746,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
19-05-2024,4,Freestyle LVL UP 1,Ninho,76,114182,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273fbe613b1c15b681dc3e84dfe
19-05-2024,5,Meuda,Tiakola,78,152546,album,16,TRUE,https://i.scdn.co/image/ab67616d0000b2731bbc72ff946f55d4d3188062
19-05-2024,6,Demain,PLK,79,183013,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
19-05-2024,7,Freestyle LVL UP 2,Ninho,72,149064,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27351f1cbc3fed8aeb3583ae1ee
19-05-2024,8,Jolie (feat. Ninho),GAULOIS,76,159573,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2733c9df4c3afb30980eec2674e
19-05-2024,9,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
19-05-2024,10,Capitaine,Djadja & Dinaz,77,155920,album,34,TRUE,https://i.scdn.co/image/ab67616d0000b27307d766657a7ded13871265af
19-05-2024,11,Mr. Ocho,SDM,77,226653,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
19-05-2024,12,Laboratoire,Werenoi,75,162840,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
19-05-2024,13,Rush,Ayra Starr,82,185093,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b2734828f4b04d92d6641be98cc5
19-05-2024,14,Solitaire,Werenoi,74,146440,album,10,TRUE,https://i.scdn.co/image/ab67616d0000b273cf79b3201cff3e3a19942f12
19-05-2024,15,Nocif,Hamza,75,229386,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b2736d70a04b5fbec88db801822f
19-05-2024,16,Decrescendo,Lomepal,76,218586,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273f3b4ab85fc00ae35007eb7d0
19-05-2024,17,La faille,Jul,67,291280,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273bd27d89f43436a6487849fb3
19-05-2024,18,Ciao,Werenoi,74,216333,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
19-05-2024,19,AMBER,Zola,68,182493,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
19-05-2024,20,DIE,Gazo,77,240413,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
19-05-2024,21,Tiki Taka,Vacra,66,174829,album,8,FALSE,https://i.scdn.co/image/ab67616d0000b2734d82486b5c7a283ab9ed2797
19-05-2024,22,Nouvelles,PLK,75,179653,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
19-05-2024,23,Dépassé,Nuit Incolore,74,172394,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273b157e61791dc23dff9786eb4
19-05-2024,24,Secret,Louane,74,191173,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b2736ddad5ffc62722ceecacd18a
19-05-2024,25,La bandite,Jul,78,160893,album,25,TRUE,https://i.scdn.co/image/ab67616d0000b2733c505b5ddcbdf80c7dff5a1f
19-05-2024,26,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
19-05-2024,27,La danse du roro,Naps,70,212053,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
19-05-2024,28,Urus,Favé,71,147788,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273583586e9318379d1add68cfe
19-05-2024,29,Daylight,David Kushner,97,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
19-05-2024,30,COEUR DE ICE (feat. Damso),Zola,75,192213,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
19-05-2024,31,NO LÈCHE,Gazo & Favé & Leto,75,194201,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a7d51f8ab02540c9304aaa17
19-05-2024,32,TOUTE LA JOURNÉE (feat. Tiakola),Zola,68,167933,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
19-05-2024,33,FLEURS (feat. Tiakola),Gazo,74,210933,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
19-05-2024,34,Tattoo,Loreen,90,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
19-05-2024,35,Quoi de neuf bébé,Jok'air,62,202760,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273f4b8e2b04c2441dacfbdbc4d
19-05-2024,36,Room 69,Tayc,75,189926,album,9,FALSE,https://i.scdn.co/image/ab67616d0000b2735eb0e9cec42f49289d4871f5
19-05-2024,37,Miracle (with Ellie Goulding),Calvin Harris & Ellie Goulding,91,186496,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0
19-05-2024,38,La vie qu'on mène,Ninho,75,193443,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b2733f12b172c90b9fe9232f38d0
19-05-2024,39,Superstar,Stefy De Cicco & Shibui & Andrea Zelletta,74,172142,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2736b94f3d0cbff0d4d16844bb5
19-05-2024,40,Tek Tek (feat. MHD),DYSTINCT & MHD,72,161506,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2735d9b237aad9eab1c17a80ee7
19-05-2024,41,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,90,140017,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
19-05-2024,42,Escorte,Werenoi,71,194626,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
19-05-2024,43,As It Was,Harry Styles,92,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
19-05-2024,44,Δ. Dieu ne ment jamais,Damso,74,199346,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b273d8ab9910c70f649f1498ff61
19-05-2024,45,Bailar contigo,Black Eyed Peas,72,223352,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2734b04c0f4a47a0ff7958332a6
19-05-2024,46,Pas là,Djadja & Dinaz,72,147000,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b273a108e2731d6ce9a6a7e06261
19-05-2024,47,Intro,Josman,73,147720,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b273110978fabea619d30156216b
19-05-2024,48,La League,Werenoi,72,179572,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273530417284071d70ff30d43d9
19-05-2024,49,People,Libianca,92,184791,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
19-05-2024,50,I Ain't Worried,OneRepublic,56,148120,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273fedd3df3fa6f52c42fbb9e08
20-05-2024,1,C'est carré le S,Naps,75,201533,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
20-05-2024,2,Bolide allemand,SDM,79,176746,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
20-05-2024,3,LA RUE,No Limit & Gazo & Damso,74,225137,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27384f2454da0973c07a508b57e
20-05-2024,4,Freestyle LVL UP 1,Ninho,76,114182,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273fbe613b1c15b681dc3e84dfe
20-05-2024,5,Meuda,Tiakola,78,152546,album,16,TRUE,https://i.scdn.co/image/ab67616d0000b2731bbc72ff946f55d4d3188062
20-05-2024,6,Demain,PLK,79,183013,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
20-05-2024,7,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
20-05-2024,8,Jolie (feat. Ninho),GAULOIS,76,159573,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2733c9df4c3afb30980eec2674e
20-05-2024,9,Freestyle LVL UP 2,Ninho,72,149064,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27351f1cbc3fed8aeb3583ae1ee
20-05-2024,10,Capitaine,Djadja & Dinaz,77,155920,album,34,TRUE,https://i.scdn.co/image/ab67616d0000b27307d766657a7ded13871265af
20-05-2024,11,Rush,Ayra Starr,82,185093,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b2734828f4b04d92d6641be98cc5
20-05-2024,12,Mr. Ocho,SDM,77,226653,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
20-05-2024,13,Nocif,Hamza,75,229386,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b2736d70a04b5fbec88db801822f
20-05-2024,14,Laboratoire,Werenoi,75,162840,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
20-05-2024,15,Tiki Taka,Vacra,66,174829,album,8,FALSE,https://i.scdn.co/image/ab67616d0000b2734d82486b5c7a283ab9ed2797
20-05-2024,16,AMBER,Zola,68,182493,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
20-05-2024,17,Ciao,Werenoi,74,216333,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
20-05-2024,18,Decrescendo,Lomepal,76,218586,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273f3b4ab85fc00ae35007eb7d0
20-05-2024,19,Solitaire,Werenoi,74,146440,album,10,TRUE,https://i.scdn.co/image/ab67616d0000b273cf79b3201cff3e3a19942f12
20-05-2024,20,La faille,Jul,68,291280,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273bd27d89f43436a6487849fb3
20-05-2024,21,DIE,Gazo,77,240413,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
20-05-2024,22,Secret,Louane,74,191173,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b2736ddad5ffc62722ceecacd18a
20-05-2024,23,La bandite,Jul,78,160893,album,25,TRUE,https://i.scdn.co/image/ab67616d0000b2733c505b5ddcbdf80c7dff5a1f
20-05-2024,24,Dépassé,Nuit Incolore,74,172394,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273b157e61791dc23dff9786eb4
20-05-2024,25,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,90,140017,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
20-05-2024,26,Daylight,David Kushner,97,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
20-05-2024,27,Urus,Favé,71,147788,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273583586e9318379d1add68cfe
20-05-2024,28,La danse du roro,Naps,71,212053,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
20-05-2024,29,Nouvelles,PLK,75,179653,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
20-05-2024,30,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
20-05-2024,31,Superstar,Stefy De Cicco & Shibui & Andrea Zelletta,74,172142,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2736b94f3d0cbff0d4d16844bb5
20-05-2024,32,Bailar contigo,Black Eyed Peas,73,223352,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2734b04c0f4a47a0ff7958332a6
20-05-2024,33,The Ballet Girl,Aden Foyer,76,201424,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27347ec34af123096d55e5391e8
20-05-2024,34,Some Kind Of Kiss,Sound Of Legend,72,148124,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732c9bc8e7a833aaf89526d1f5
20-05-2024,35,TOUTE LA JOURNÉE (feat. Tiakola),Zola,68,167933,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
20-05-2024,36,As It Was,Harry Styles,92,167303,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
20-05-2024,37,NO LÈCHE,Gazo & Favé & Leto,75,194201,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273a7d51f8ab02540c9304aaa17
20-05-2024,38,Room 69,Tayc,75,189926,album,9,FALSE,https://i.scdn.co/image/ab67616d0000b2735eb0e9cec42f49289d4871f5
20-05-2024,39,COEUR DE ICE (feat. Damso),Zola,75,192213,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
20-05-2024,40,FLEURS (feat. Tiakola),Gazo,74,210933,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
20-05-2024,41,La vie qu'on mène,Ninho,75,193443,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b2733f12b172c90b9fe9232f38d0
20-05-2024,42,The Fool,Jain,66,207733,album,11,FALSE,https://i.scdn.co/image/ab67616d0000b273ea494aca4f8ae6a9c2b904f9
20-05-2024,43,I Ain't Worried,OneRepublic,56,148120,album,18,FALSE,https://i.scdn.co/image/ab67616d0000b273fedd3df3fa6f52c42fbb9e08
20-05-2024,44,Tattoo,Loreen,90,183374,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
20-05-2024,45,Tek Tek (feat. MHD),DYSTINCT & MHD,73,161506,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2735d9b237aad9eab1c17a80ee7
20-05-2024,46,Miracle (with Ellie Goulding),Calvin Harris & Ellie Goulding,91,186496,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0
20-05-2024,47,Nous Deux,RIDSA,60,184810,album,20,FALSE,https://i.scdn.co/image/ab67616d0000b2738a22bb4e6950533aa9c2f139
20-05-2024,48,People,Libianca,92,184791,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
20-05-2024,49,Escorte,Werenoi,71,194626,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
20-05-2024,50,I'm Good (Blue),David Guetta & Bebe Rexha,94,175238,single,2,TRUE,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
21-05-2024,1,C'est carré le S,Naps,75,201533,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
21-05-2024,2,LA RUE,No Limit & Gazo & Damso,75,225137,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27384f2454da0973c07a508b57e
21-05-2024,3,Bolide allemand,SDM,80,176746,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
21-05-2024,4,Freestyle LVL UP 1,Ninho,76,114182,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273fbe613b1c15b681dc3e84dfe
21-05-2024,5,Meuda,Tiakola,78,152546,album,16,TRUE,https://i.scdn.co/image/ab67616d0000b2731bbc72ff946f55d4d3188062
21-05-2024,6,Demain,PLK,79,183013,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
21-05-2024,7,Jolie (feat. Ninho),GAULOIS,76,159573,album,14,TRUE,https://i.scdn.co/image/ab67616d0000b2733c9df4c3afb30980eec2674e
21-05-2024,8,Flowers,Miley Cyrus,91,200600,album,13,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
21-05-2024,9,Freestyle LVL UP 2,Ninho,73,149064,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b27351f1cbc3fed8aeb3583ae1ee
21-05-2024,10,Capitaine,Djadja & Dinaz,77,155920,album,34,TRUE,https://i.scdn.co/image/ab67616d0000b27307d766657a7ded13871265af
21-05-2024,11,Mr. Ocho,SDM,77,226653,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273455e89dbf3ce2e6d337be1d0
21-05-2024,12,Rush,Ayra Starr,82,185093,album,16,FALSE,https://i.scdn.co/image/ab67616d0000b2734828f4b04d92d6641be98cc5
21-05-2024,13,Laboratoire,Werenoi,75,162840,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
21-05-2024,14,Nocif,Hamza,75,229386,album,17,TRUE,https://i.scdn.co/image/ab67616d0000b2736d70a04b5fbec88db801822f
21-05-2024,15,La faille,Jul,69,291280,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273bd27d89f43436a6487849fb3
21-05-2024,16,Tiki Taka,Vacra,66,174829,album,8,FALSE,https://i.scdn.co/image/ab67616d0000b2734d82486b5c7a283ab9ed2797
21-05-2024,17,AMBER,Zola,68,182493,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b2733bbe265a079a047a655036de
21-05-2024,18,Ciao,Werenoi,74,216333,album,18,TRUE,https://i.scdn.co/image/ab67616d0000b27338a0c9e975d3aee9b44a6918
21-05-2024,19,Solitaire,Werenoi,74,146440,album,10,TRUE,https://i.scdn.co/image/ab67616d0000b273cf79b3201cff3e3a19942f12
21-05-2024,20,Decrescendo,Lomepal,76,218586,album,15,FALSE,https://i.scdn.co/image/ab67616d0000b273f3b4ab85fc00ae35007eb7d0
21-05-2024,21,Secret,Louane,74,191173,album,14,FALSE,https://i.scdn.co/image/ab67616d0000b2736ddad5ffc62722ceecacd18a
21-05-2024,22,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,90,140017,single,2,FALSE,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a
21-05-2024,23,La bandite,Jul,78,160893,album,25,TRUE,https://i.scdn.co/image/ab67616d0000b2733c505b5ddcbdf80c7dff5a1f
21-05-2024,24,La danse du roro,Naps,71,212053,album,22,FALSE,https://i.scdn.co/image/ab67616d0000b27348f7c15d2c4dde71d11262e6
21-05-2024,25,Tek Tek (feat. MHD),DYSTINCT & MHD,74,161506,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2735d9b237aad9eab1c17a80ee7
21-05-2024,26,Some Kind Of Kiss,Sound Of Legend,72,148124,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b2732c9bc8e7a833aaf89526d1f5
21-05-2024,27,Urus,Favé,71,147788,single,1,TRUE,https://i.scdn.co/image/ab67616d0000b273583586e9318379d1add68cfe
21-05-2024,28,Daylight,David Kushner,97,212953,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
21-05-2024,29,DIE,Gazo,76,240413,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
21-05-2024,30,Dépassé,Nuit Incolore,74,172394,single,1,FALSE,https://i.scdn.co/image/ab67616d0000b273b157e61791dc23dff9786eb4
21-05-2024,31,Nouvelles,PLK,75,179653,single,10,TRUE,https://i.scdn.co/image/ab67616d0000b273390bfa914f9f7b04582aba5d
21-05-2024,32,FLEURS (feat. Tiakola),Gazo,74,210933,album,15,TRUE,https://i.scdn.co/image/ab67616d0000b273765b01901c10003211f8554d
